dataset,model,seed,train_mse,test_mse,train_r2,test_r2,train_mae,test_mae,fit_time_s,predict_time_s
interaction,RHM (original),456,4.4596532216451665,4.575418108598007,0.44583197765728766,0.4453567742196697,1.5862482275993688,1.599668143859621,0.8273348999791779,1.6974294999963604
interaction,"ACGMT (top1, no-std)",456,4.459653221645167,4.575418108598007,0.44583197765728755,0.4453567742196697,1.5862482275993688,1.599668143859621,0.3369829999865033,0.0012596999877132475
interaction,"ACGMT (top3, std)",456,0.4279559261460615,0.45780828529430895,0.9468210918079594,0.9445033747478866,0.46300000123936125,0.4798257353277858,1.3382216999889351,0.0029634999809786677
interaction,ACGMT (full),456,0.4426325612009472,0.5211190990491252,0.9449973352469029,0.9368286851054772,0.47095860685574403,0.4988423372435127,2.2008060999796726,0.002433900022879243
interaction,Ridge,789,5.241086535680372,5.079987333455838,0.37716437561109006,0.3660868845745652,1.739541394959475,1.7313000881307552,0.0030128000071272254,0.00021759996889159083
interaction,CART,789,1.9438743049258838,1.8406470723135162,0.7689955778826113,0.77031235642566,1.0245389122100346,1.0030826185974229,0.018680299981497228,0.000533499987795949
interaction,RandomForest,789,1.3500721286572495,1.3122776879367188,0.8395613177729864,0.8362456473100409,0.8275763023144137,0.815102418584753,1.1881271000020206,0.014814299996942282
interaction,GradientBoosting,789,0.2306849002567157,0.3243816151932507,0.9725860710540942,0.9595215998040686,0.38413280206239686,0.45643028464724855,2.044900100037921,0.003073300002142787
interaction,RHM (original),789,3.4924526915222978,3.843895280248863,0.5849669838564033,0.5203343094137137,1.3009413105958083,1.3858472898647078,0.978710499999579,1.4027234999812208
interaction,"ACGMT (top1, no-std)",789,3.4924526915222973,3.843895280248863,0.5849669838564033,0.5203343094137137,1.3009413105958083,1.3858472898647083,0.37768279999727383,0.0025515000452287495
interaction,"ACGMT (top3, std)",789,0.4457640268396299,0.39483340174678905,0.9470266872915247,0.950730177981554,0.47695609302401715,0.4681379734159576,1.1629405000130646,0.0030383000266738236
interaction,ACGMT (full),789,0.3573955974706907,0.33655804645896087,0.9575281368492786,0.9580021472992216,0.4433798773170074,0.45191148957781807,2.0553871000302024,0.002043799962848425
interaction,Ridge,1024,5.177339248278338,5.555284181798317,0.37226662567793645,0.30151018438578725,1.7526644822251707,1.7628376044723897,0.001635099994018674,0.00019799999427050352
interaction,CART,1024,1.8942582865625373,1.9797899847450064,0.7703281378640874,0.7510724751165198,1.0194310623109175,1.0292091415926057,0.016865900019183755,0.0003939999733120203
interaction,RandomForest,1024,1.351763166013608,1.4657792090648156,0.8361036793622956,0.8157012646040005,0.8169360079673094,0.8318117812962518,1.2973366000223905,0.01390950003406033
interaction,GradientBoosting,1024,0.2210352853464555,0.35311441954658096,0.9732002832225238,0.9556014026054797,0.3791701103141908,0.4411260749326384,1.8083576000062749,0.0018848999752663076
interaction,RHM (original),1024,5.04598328095074,5.750369190550835,0.38819305441936236,0.27698130569419666,1.724812567167966,1.76652785334347,1.0914746999624185,2.1892744000069797
interaction,"ACGMT (top1, no-std)",1024,5.04598328095074,5.750369190550834,0.38819305441936236,0.27698130569419677,1.724812567167966,1.7665278533434703,0.29697740002302453,0.0016944000381045043
interaction,"ACGMT (top3, std)",1024,0.2825234866149529,0.33127610131591106,0.9657450645837021,0.958347228448961,0.41854743405920386,0.4315738364392927,1.642649999994319,0.0029420999926514924
interaction,ACGMT (full),1024,0.29717949229900276,0.34832841018080185,0.9639680777066704,0.9562031681839867,0.42693565952109763,0.4427842553059302,1.985699900018517,0.002158300019800663
